CATEGORY,word
apologetic,ごめん
apologetic,ごめんなさい
apologetic,すいません
apologetic,すみません
apologetic,スミマセン
apologetic,恐れ入ります
apologetic,残念です
apologetic,申し訳ありません
apologetic,申し訳ない
deference,いい
deference,かわいい
deference,きれい
deference,すごい凄
deference,すごい厲
deference,すごい強
deference,すごい棒
deference,すごい牛
deference,すごい綺
deference,すごい美
deference,すごく上手い
deference,すごく綺麗
deference,すばらしい
deference,どうぞ
deference,よい
deference,よろしく
deference,カワイイ
deference,シャープ
deference,ドライ
deference,凄
deference,厲
deference,可愛い
deference,強
deference,強力
deference,強大
deference,悪い
deference,棒
deference,牛
deference,立派
deference,素敵
deference,素晴らしい
deference,素晴らしく
deference,綺
deference,綺麗
deference,美
deference,美しい
deference,美しく
deference,良い
deference,良かっ
deference,良く
direct_question,who
direct_question,いくつ
direct_question,いくら
direct_question,いったい
direct_question,いつ
direct_question,どう
direct_question,どうして
direct_question,どうやって
direct_question,どこ
direct_question,どのくらい
direct_question,どのぐらい
direct_question,どのぐらいの量
direct_question,どのような
direct_question,どのように
direct_question,どの方法で
direct_question,どの程度
direct_question,どれくらい
direct_question,なぜ
direct_question,なに
direct_question,なんで
direct_question,ドコ
direct_question,レッダー
direct_question,何
direct_question,何で
direct_question,何処
direct_question,何故
direct_question,何時
direct_question,誰
direct_question,誰が
emergency,すぐに
emergency,できるだけ早く
emergency,切実に
emergency,即刻
emergency,即座に
emergency,大至急
emergency,急
emergency,急いで
emergency,急務
emergency,早急に
emergency,緊急
emergency,至急
emergency,迅速に
emergency,速い
emergency,速く
emergency,速やかに
emergency,遅い
factuality,実際
factuality,本当に
factuality,正直に言って
first_person_singular,あたし
first_person_singular,おれ
first_person_singular,お前
first_person_singular,ぼく
first_person_singular,わし
first_person_singular,わたくし
first_person_singular,わたし
first_person_singular,オレ
first_person_singular,俺
first_person_singular,僕
first_person_singular,私
first_person_singular,自分
gratitude,ありがたい
gratitude,ありがと
gratitude,ありがとう
gratitude,いた
gratitude,うれしい
gratitude,おかげ
gratitude,お礼
gratitude,お礼を言います
gratitude,お礼申し上げます
gratitude,ござい
gratitude,嬉しい
gratitude,感謝
gratitude,感謝しています
gratitude,感謝の意を表します
gratitude,有り難い
gratitude,有り難う
gratitude,有難い
gratitude,有難う
gratitude,謝意
greeting,いい
greeting,おい
greeting,おき
greeting,おく
greeting,おけ
greeting,おはよう
greeting,こんにちは
greeting,こんにちわ
greeting,こんばんは
greeting,こんばんわ
greeting,さようなら
greeting,さよなら
greeting,とい
greeting,とけ
greeting,ねえ
greeting,はじめまして
greeting,もしもし
greeting,やあ
greeting,よい
greeting,ハロ
greeting,ハロー
greeting,悪い
greeting,良い
greeting,良かっ
greeting,良く
hedge,あまり
hedge,ある意味で
hedge,ある程度
hedge,ある程度まで
hedge,ある種
hedge,いくらか
hedge,おおよそ
hedge,おそらく
hedge,かなり
hedge,かもしれない
hedge,くらい
hedge,ぐらい
hedge,けど
hedge,しかし
hedge,しない
hedge,すこし
hedge,そこ
hedge,そして
hedge,それ
hedge,それでも
hedge,それなりに
hedge,たいてい
hedge,たぶん
hedge,だいたい
hedge,だけ
hedge,だろう
hedge,ちょっと
hedge,でき
hedge,できる
hedge,できるだけ
hedge,なるべく
hedge,なんとか
