CATEGORY,word
apologetic,ごめん
apologetic,ごめん
apologetic,気の毒だと思う
apologetic,サン・ルイ
apologetic,すみません
apologetic,不幸にも
deference,シャープ
deference,素晴らしい
deference,強力
deference,牛
deference,美しい
deference,かわいい
deference,素晴らしい
deference,素晴らしい
deference,とても強い
deference,牛
deference,素敵
deference,美しい
deference,すばらしい
deference,素晴らしい
deference,とても強い
deference,良い牛
deference,なんて素敵な眺めでしょう
deference,とても美しい
deference,どうぞ
deference,きれいになりなさい
deference,とてもうまくやっています
deference,本当に美しい
deference,良い
deference,ドライ
deference,とっても良い
deference,本当に美しい
direct_question,なぜ
direct_question,なぜ
direct_question,いくつかの
direct_question,どこ
direct_question,幾つか
direct_question,どうやって
direct_question,WHO
direct_question,その通り
direct_question,いつ
direct_question,いつ
direct_question,なぜ
direct_question,どうやって
direct_question,なぜ
direct_question,何
direct_question,何
direct_question,何をするって
emergency,急げ
emergency,すぐに
emergency,すぐに
emergency,急げ
emergency,急
emergency,できるだけ速くに
emergency,すぐに
emergency,速い
emergency,急務
emergency,急
emergency,急務
factuality,実際
factuality,実を言うと
factuality,本当のことを言え
first_person_plural,私たち
first_person_plural,私たち
first_person_plural,私たち二人
first_person_plural,しましょう
first_person_plural,私たち
first_person_singular,私
first_person_singular,俺
gratitude,ありがたい
gratitude,ありがとう
gratitude,感謝
gratitude,感謝
greeting,やあ
greeting,こんにちは
greeting,ハロ
greeting,おい
greeting,こんにちは
greeting,おはよう
greeting,おはよう
greeting,こんにちは
greeting,こんにちは
greeting,こんばんは
greeting,おやすみ
greeting,平和的
greeting,良い
greeting,こんにちは
greeting,こんにちは、みんな
greeting,長い間
greeting,長い間あなたに会っていません
greeting,いらっしゃいませ
greeting,食事はしましたか
greeting,おはよう
greeting,こんにちは
greeting,おやすみ
greeting,お会いできて嬉しいです
greeting,あなたのハードワークをありがとう
greeting,さようなら
has_negative,ナン
has_positive,ナン
hedge,できる
hedge,できる
hedge,できる
hedge,できません
hedge,答え
hedge,したほうがいい
hedge,必要
hedge,ミーティング
hedge,しない
hedge,意思
hedge,いくつかの
hedge,ほとんど
hedge,上下
hedge,だいたい
hedge,できるだけ
hedge,多くの
hedge,少し
hedge,多くの
hedge,確認
hedge,定刻
hedge,見せる
hedge,推測します
hedge,ジャッジ
hedge,推測
hedge,推測
hedge,見積もり
hedge,多分
hedge,多分
hedge,多分
hedge,多分
hedge,また
hedge,可能
hedge,思われる
hedge,多分
hedge,少し
hedge,少し
hedge,少し
hedge,少し
hedge,若干
hedge,若干
hedge,少し
hedge,少量
indirect_btw,正しい
indirect_btw,言う
indirect_btw,現れます
indirect_btw,ところで
indirect_btw,ところで
indirect_btw,持ってきた
indirect_btw,ところで
indirect_btw,言ってください
ingroup_ident,私たち
ingroup_ident,私たち
ingroup_ident,私たち全員
ingroup_ident,私たち
please,お願いします
please,聞く
please,ヘルプ
praise,素晴らしい
praise,すばらしい
praise,シャープ
praise,素晴らしい
praise,素晴らしい
praise,素晴らしい
praise,とても強い
praise,とても強い
praise,強力
praise,牛
praise,良い牛
praise,牛
praise,素敵
praise,なんて素敵な眺めでしょう
praise,美しい
praise,美しい
praise,とても美しい
praise,かわいい
praise,どうぞ
praise,とてもうまくやっています
praise,良い
praise,とっても良い
praise,きれいになりなさい
praise,本当に美しい
praise,ドライ
praise,本当に美しい
promise,しなければならない
promise,affim
promise,絶対
promise,右
promise,しなければならない
promise,確認
promise,決定的
second_person,あなた
taboo,拷問
taboo,による
taboo,所有
taboo,草
taboo,草
taboo,cao
taboo,拭きます
taboo,傷
taboo,ドライ
taboo,プー
taboo,人生
taboo,彼の母親
taboo,妹
taboo,あなたのお母さん
taboo,あなたの妹
taboo,nm
taboo,TM
taboo,くそくらえ
taboo,彼のおばあちゃん
taboo,tnnd
taboo,母親
taboo,ああ、くそ
taboo,MD
taboo,くそ
taboo,戻る
taboo,カップ
taboo,白い目
taboo,愚か者
taboo,スカム
taboo,クソ野郎
taboo,胎児
taboo,皮肉
taboo,ブルート
taboo,売春
taboo,下衆野郎
taboo,下衆野郎
taboo,魂
taboo,カメ
taboo,バカ
taboo,精神遅滞
taboo,バカ
taboo,愚か者
taboo,愚かな犬
taboo,愚かな犬
taboo,放棄された
taboo,無駄
taboo,トガリネズミ
taboo,詐欺
taboo,悲しみ
taboo,苦い
taboo,安い商品
taboo,女
taboo,ハイブリッド
taboo,悪い奴
taboo,腐った商品
taboo,愚かな帽子
taboo,250
taboo,贰佰
taboo,2つの商品
taboo,2b
taboo,200と5
taboo,SB
taboo,バカ
taboo,愚かなb
taboo,脳卒中
taboo,シャティ
taboo,ミックス
taboo,雌犬
taboo,バカ
taboo,Yoneda Total
taboo,おなら
taboo,たわごと
taboo,ディック
taboo,肥料
taboo,尿
taboo,死ぬ
together,一緒
together,ユニフォーム
together,一緒
together,一つずつ
you_direct,あなた
you_honorific,あなた
you_honorific,あなたの閣下
you_honorific,紳士
you_honorific,逃す
