CATEGORY,word
gratitude,thanks
gratitude,thx
gratitude,thank you
gratitude,thank u
gratitude,i appreciate
deference,great
deference,good
deference,nice
deference,interesting
deference,cool
deference,excellent
deference,awesome
greeting,hi
greeting,hello
greeting,hey
apologetic,sorry
apologetic,woops
apologetic,oops
apologetic,sry
apologetic,apologize
apologetic,apologies
apologetic,apology
apologetic,forgive me
apologetic,my bad
apologetic,my apologies
apologetic,my fault
please,please
please,pls
please,plz
please,plse
please_start,please
please_start,pls
please_start,plz
indirect_btw,btw
indirect_btw,by the way
direct_question,what
direct_question,where
direct_question,why
direct_question,who
direct_question,when
direct_question,how
direct_start,so
direct_start,then
direct_start,and
direct_start,but
direct_start,or
subjunctive,could you
subjunctive,would you
subjunctive,could u
subjunctive,would u
indicative,can you
indicative,will you
indicative,can u
indicative,will u
first_person_start,i
first_person_start,my
first_person_start,mine
first_person_start,myself
first_person_plural,we
first_person_plural,our
first_person_plural,ours
first_person_plural,us
first_person_plural,ourselves
first_person_singular,i
first_person_singular,my
first_person_singular,mine
first_person_singular,myself
first_person_singular,me
second_person,you
second_person,your
second_person,yours
second_person,yourself
second_person,u
second_person,you
second_person_start,you
second_person_start,your
second_person_start,yours
second_person_start,yourself
hedge,think
hedge,thought
hedge,thinking
hedge,almost
hedge,apparent
hedge,apparently
hedge,appear
hedge,appeared
hedge,appears
hedge,approximately
hedge,around
hedge,assume
hedge,assumed
hedge,certain amount
hedge,certain extent
hedge,certain level
hedge,claim
hedge,claimed
hedge,doubt
hedge,doubtful
hedge,essentially
hedge,estimate
hedge,estimated
hedge,feel
hedge,felt
hedge,frequently
hedge,from our perspective
hedge,generally
hedge,guess
hedge,in general
hedge,in most cases
hedge,in most instances
hedge,in our view
hedge,indicate
hedge,indicated
hedge,largely
hedge,likely
hedge,mainly
hedge,may
hedge,maybe
hedge,might
hedge,mostly
hedge,often
hedge,on the whole
hedge,ought
hedge,perhaps
hedge,plausible
hedge,plausibly
hedge,possible
hedge,possibly
hedge,postulate
hedge,postulated
hedge,presumable
hedge,probable
hedge,probably
hedge,relatively
hedge,roughly
hedge,seems
hedge,should
hedge,sometimes
hedge,somewhat
hedge,suggest
hedge,suggested
hedge,suppose
hedge,suspect
hedge,tend to
hedge,tends to
hedge,typical
hedge,typically
hedge,uncertain
hedge,uncertainly
hedge,unclear
hedge,unclearly
hedge,unlikely
hedge,usually
hedge,broadly
hedge,tended to
hedge,presumably
hedge,suggests
hedge,from this perspective
hedge,from my perspective
hedge,in my view
hedge,in this view
hedge,in our opinion
hedge,in my opinion
hedge,to my knowledge
hedge,fairly
hedge,quite
hedge,rather
hedge,argue
hedge,argues
hedge,argued
hedge,claims
hedge,feels
hedge,indicates
hedge,supposed
hedge,supposes
hedge,suspects
hedge,postulates
factuality,in fact
factuality,the point
factuality,the reality
factuality,the truth
factuality,really
factuality,actually
factuality,honestly
factuality,surely
factuality,in fact
factuality,as a matter of fact
factuality,in truth
factuality,actually
emergency,right now
emergency,rn
emergency,as soon as possible
emergency,asap
emergency,immediately
emergency,hurry up
emergency,straightaway
emergency,at once
ingroup_ident,mate
ingroup_ident,bro
ingroup_ident,homie
ingroup_ident,dude
praise,awesome
praise,outstanding
praise,excellent
praise,great
praise,neat
praise,remarkable
praise,fantastic
praise,super
praise,beautiful
praise,bravo
praise,incredible
promise,must
promise,definitely
promise,sure
promise,definite
promise,surely
promise,certainly
promise,promise
together,together
you_direct,you
you_direct,u
has_positive,abound
has_positive,abounds
has_positive,abundance
has_positive,abundant
has_positive,accessable
has_positive,accessible
has_positive,acclaim
has_positive,acclaimed
has_positive,acclamation
has_positive,accolade
has_positive,accolades
has_positive,accommodative
has_positive,accomodative
has_positive,accomplish
has_positive,accomplished
has_positive,accomplishment
has_positive,accomplishments
has_positive,accurate
has_positive,accurately
has_positive,achievable
has_positive,achievement
has_positive,achievements
has_positive,achievible
has_positive,acumen
has_positive,adaptable
has_positive,adaptive
has_positive,adequate
has_positive,adjustable
has_positive,admirable
has_positive,admirably
has_positive,admiration
has_positive,admire
has_positive,admirer
has_positive,admiring
has_positive,admiringly
has_positive,adorable
has_positive,adore
has_positive,adored
has_positive,adorer
has_positive,adoring
has_positive,adoringly
has_positive,adroit
has_positive,adroitly
has_positive,adulate
has_positive,adulation
has_positive,adulatory
has_positive,advanced
has_positive,advantage
has_positive,advantageous
has_positive,advantageously
has_positive,advantages
has_positive,adventuresome
has_positive,adventurous
has_positive,advocate
has_positive,advocated
has_positive,advocates
has_positive,affability
has_positive,affable
has_positive,affably
has_positive,affectation
has_positive,affection
has_positive,affectionate
has_positive,affinity
has_positive,affirm
has_positive,affirmation
