Utterance,Sentences,Translated Sentences,Dialog Acts
請問有關批評事宜是否有需要寫出或以中立角度寫出? 因為英文版也沒有列出相關事宜，外人一般較以理解。 如果真的有需要寫出的話，有關以下言論是否需要以中立立場修改一下?,"['請問有關批評事宜是否有需要寫出或以中立角度寫出?', '因為英文版也沒有列出相關事宜，外人一般較以理解。', '如果真的有需要寫出的話，有關以下言論是否需要以中立立場修改一下?']","['May I ask whether it is necessary to write about the criticism or write it from a neutral point of view?', 'Because the English version does not list relevant matters, it is generally easier for outsiders to understand.', 'If it is really necessary to write, does the following statement need to be revised from a neutral position?']","[('qy',), ('sv',), ('qy',)]"
不可直接以搜索結果的多寡來定奪名稱正確與否。 如上所言，Snooker和English billiards同屬「英式桌球」類，加上「-{比力}-」或「-{士碌架}-」只是為了消除歧義。,"['不可直接以搜索結果的多寡來定奪名稱正確與否。', '如上所言，Snooker和English billiards同屬「英式桌球」類，加上「-{比力}-」或「-{士碌架}-」只是為了消除歧義。']","['The correctness of the name cannot be determined directly by the number of search results.', 'As mentioned above, Snooker and English billiards belong to the same category of ""British billiards"", adding ""-{Biliard}-"" or ""-{Slokker}-"" is just to eliminate ambiguity.']","[('sd',), ('sd',)]"
我是来抱怨一下的！ 年轻人都喜欢找有WiFi的地方上网，还以为WiFi就是无线网络信号，本想到维基百科下的WiFi词条增长一下知识，可是越看越糊涂，看完完全不知道WiFi是什么了。,"['我是来抱怨一下的！', '年轻人都喜欢找有WiFi的地方上网，还以为WiFi就是无线网络信号，本想到维基百科下的WiFi词条增长一下知识，可是越看越糊涂，看完完全不知道WiFi是什么了。']","[""I'm here to complain!"", 'Young people like to find a place with WiFi to surf the Internet, thinking that WiFi is a wireless network signal. I thought of Wikipedia’s WiFi entry to increase my knowledge, but the more I read it, the more confused I became. I don’t know what WiFi is.']","[('^q',), ('sd',)]"
既然子條目名開宗名義就是成員，那麼為什麼搬到該條目的是57個創始成員國列表，而不是97國的成員國列表放在那裡？ 後者我才前幾天才更新完。 前者的資料來源，抱歉，實在找不到，建議刪除。,"['既然子條目名開宗名義就是成員，那麼為什麼搬到該條目的是57個創始成員國列表，而不是97國的成員國列表放在那裡？', '後者我才前幾天才更新完。', '前者的資料來源，抱歉，實在找不到，建議刪除。']","['Since the name of the sub-entry is the name of the member, why is the list of 57 founding member states moved to this entry instead of the list of member states of 97 countries?', 'I just updated the latter a few days ago.', ""Sorry, I can't find the source of the former. It is recommended to delete it.""]","[('qo',), ('sd',), ()]"
说白了，这个编辑战，你所在的一方只有你一个吧？ 如果这一节直接使用 “中国”的表述方式，同时旗帜是当时（1945年）中华民国的国旗，我完全同意，因为这反映了历史事实。,"['说白了，这个编辑战，你所在的一方只有你一个吧？', '如果这一节直接使用 “中国”的表述方式，同时旗帜是当时（1945年）中华民国的国旗，我完全同意，因为这反映了历史事实。']","['To put it bluntly, in this editorial battle, you are the only one on the side, right?', 'If this section directly uses the expression ""China"" and the flag is the flag of the Republic of China at that time (1945), I completely agree, because it reflects historical facts.']","[('qy',), ('sd',)]"
三位好，之前一忙，沒注意到互助客棧還繼續在討論，現在才看到轉貼過來的討論內容。 在下亦贊同Hanteng不使用「雙邊第一手來源」的原則，這符合維基百科方針。,"['三位好，之前一忙，沒注意到互助客棧還繼續在討論，現在才看到轉貼過來的討論內容。', '在下亦贊同Hanteng不使用「雙邊第一手來源」的原則，這符合維基百科方針。']","[""Hi three, I was busy before, and I didn't notice that the Huzhu Inn was still discussing, and now I see the discussion content reposted."", 'I also agree with Hanteng\'s principle of not using ""bilateral primary sources"", which is in line with Wikipedia policy.']","[('sd',), ('sd',)]"
錦糸町是直接使用原文，不是甚麼拿雞毛當令箭。 繁體中文版的路線圖是東京都交通局和東日本旅客鐵道發佈的，所謂「不知道找哪個人隨便翻譯出來」完全是胡說八道。 這其實跟仙台的情況也有類似。,"['錦糸町是直接使用原文，不是甚麼拿雞毛當令箭。', '繁體中文版的路線圖是東京都交通局和東日本旅客鐵道發佈的，所謂「不知道找哪個人隨便翻譯出來」完全是胡說八道。', '這其實跟仙台的情況也有類似。']","['Kinshicho uses the original text directly, not just using chicken feathers as arrows.', 'The traditional Chinese version of the route map was released by the Tokyo Metropolitan Bureau of Transportation and the East Japan Railway Company. The so-called ""I don\'t know who I can find someone to translate it casually"" is complete nonsense.', 'This is actually similar to the situation in Sendai.']","[('sd',), ('sd',), ('sd',)]"
本條目為11月14日「台灣知識種子計畫」中，「醫週譯小時」工作小組共同翻譯的成果。 一群醫學院的學生共同合作，將英文維基百科中，已經過專家審核的引言部分，翻譯成中文。,"['本條目為11月14日「台灣知識種子計畫」中，「醫週譯小時」工作小組共同翻譯的成果。', '一群醫學院的學生共同合作，將英文維基百科中，已經過專家審核的引言部分，翻譯成中文。']","['This article is the result of the joint translation of the ""Medical Zhou Translation Hour"" working group in the ""Taiwan Knowledge Seed Project"" on November 14.', 'A group of medical students worked together to translate the introduction from English Wikipedia, which had been reviewed by experts, into Chinese.']","[('sd',), ('sd',)]"
把这条没有来源的争议放到三沙市条目中并不恰当，维基百科的正式方针包括可供查证和非原创研究。 所谓来源理应指的是具体发出这种质疑的来源，而不是印证某种论点的来源。,"['把这条没有来源的争议放到三沙市条目中并不恰当，维基百科的正式方针包括可供查证和非原创研究。', '所谓来源理应指的是具体发出这种质疑的来源，而不是印证某种论点的来源。']","[""It is not appropriate to put this unsourced controversy in the Sansha article. Wikipedia's official policy includes verifiable and non-original research."", 'The so-called source should refer to the source that specifically issued such doubts, not the source that confirms a certain argument.']","[('sv',), ('sd',)]"
我认为上海站和上海站的地址是两个概念。 1987年以前的宝山路路口的老北站的官方标准称谓即是上海站。 而沪杭铁路上海站，其实也就是上海站的一个部分。,"['我认为上海站和上海站的地址是两个概念。', '1987年以前的宝山路路口的老北站的官方标准称谓即是上海站。', '而沪杭铁路上海站，其实也就是上海站的一个部分。']","['I think Shanghai Station and the address of Shanghai Station are two concepts.', 'Before 1987, the official standard name of the Old North Railway Station at the intersection of Baoshan Road was Shanghai Railway Station.', 'The Shanghai-Hangzhou Railway Shanghai Station is actually a part of Shanghai Station.']","[('sd',), ('sd',), ('sd',)]"
