Utterance,Sentences,Translated Sentences,Dialog Acts
（日本の新聞一覧は反対）上に同じ。 日本と海外とを区別する必要を感じないので。,"['（日本の新聞一覧は反対）上に同じ。', '日本と海外とを区別する必要を感じないので。']","['(Japanese newspaper list is opposite) Same as above.', ""I don't feel the need to distinguish between Japan and other countries.""]","[('sd',), ('sd',)]"
Wetchさんに同意。 おまけに培風館の『物理学辞典』は しっかりした科学者も用いている書籍だから信用できる。,"['Wetchさんに同意。', 'おまけに培風館の『物理学辞典』は しっかりした科学者も用いている書籍だから信用できる。']","['Agree with Wetch.', ""On top of that, Baifukan's Dictionary of Physics can be trusted because it is a book used by solid scientists.""]","[('sd',), ('sd',)]"
ご回答ありがとうございます。 別の疑問点が出てきましたのでもう一つ 抵抗力について 「垂直応力がと表せる」となっていますが、垂直応力の単位は「力/面積」の次元量を持つはずです。,"['ご回答ありがとうございます。', '別の疑問点が出てきましたのでもう一つ 抵抗力について 「垂直応力がと表せる」となっていますが、垂直応力の単位は「力/面積」の次元量を持つはずです。']","['Thank you for your reply.', 'Another question has arisen, so one more about the resistance force ""The normal stress can be expressed as"", but the unit of the normal stress should have the dimensional quantity of ""force/area"".']","[('fc',), ('sd',)]"
負け犬でもそれは気になりますよ。 ご自分で自分の行動に内在する矛盾に気づいていないのですから。,"['負け犬でもそれは気になりますよ。', 'ご自分で自分の行動に内在する矛盾に気づいていないのですから。']","['Even a loser will notice it.', 'You are unaware of the contradictions inherent in your actions.']","[('sv',), ('sv',)]"
それは独自研究です。 少なくとも1970年以前から芸能活動していた吉永小百合さんのことを「アイドル」と呼ぶ人も大勢います。,"['それは独自研究です。', '少なくとも1970年以前から芸能活動していた吉永小百合さんのことを「アイドル」と呼ぶ人も大勢います。']","[""It's independent research."", 'Many people refer to Sayuri Yoshinaga, who has been active in the entertainment industry since at least 1970, as an ""idol.""']","[('sd',), ('sd',)]"
(1)GFDL適合性については微妙ですね…。 個人的には（後になって遡って対応するよりは）安全サイドに倒して処理した方が良いように思います。,"['(1)GFDL適合性については微妙ですね…。', '個人的には（後になって遡って対応するよりは）安全サイドに倒して処理した方が良いように思います。']","['(1) The question of GFDL conformance is subtle...', ""Personally, I think it's better to take it to the safe side and deal with it (rather than retroactively dealing with it later).""]","[(), ('sv',)]"
編集合戦になりかけているので理由。 まず「私と機関長で半分は殺れる」じゃなくて「私と機関長を引きかえに円卓の半分は殺れる」です。,"['編集合戦になりかけているので理由。', 'まず「私と機関長で半分は殺れる」じゃなくて「私と機関長を引きかえに円卓の半分は殺れる」です。']","['The reason is that it is about to become an edit war.', 'First of all, it\'s not ""I and the chief engineer can kill half"", but ""I can kill half of the round table in exchange for me and the chief engineer"".']","[('sd',), ('sd',)]"
統合の件は済んでしまったので仕方ありません。 PCの調子が悪く、心理学上の、催眠と素人催眠について書いたのが消えてしまいました。,"['統合の件は済んでしまったので仕方ありません。', 'PCの調子が悪く、心理学上の、催眠と素人催眠について書いたのが消えてしまいました。']","[""It can't be helped because the matter of integration has been completed."", 'I had a bad PC and my writing about psychological hypnosis and amateur hypnosis disappeared.']","[('sv',), ('sd',)]"
まず、新しい議題は一番下に書き込んでください。 また、投稿した際は署名を忘れないでください。,"['まず、新しい議題は一番下に書き込んでください。', 'また、投稿した際は署名を忘れないでください。']","['First, write the new agenda at the bottom.', ""Also, don't forget to sign when you post.""]","[(), ('sd',)]"
賛成します。 前々からこのような大会自体に関係のない事項が本記事に必要なのか疑問に思っていました。 他言語版に似たような例があるならば、そちらにならうのも一つの手段だと思います。,"['賛成します。', '前々からこのような大会自体に関係のない事項が本記事に必要なのか疑問に思っていました。', '他言語版に似たような例があるならば、そちらにならうのも一つの手段だと思います。']","['I agree', ""For some time now, I've been wondering if this article needed something unrelated to the competition itself."", 'If there are similar examples in other language versions, I think it is one way to follow them.']","[('aa',), (), ('sv',)]"
