Sentence,Translated Sentence,dialog_acts
其實歷代首相之參拜靖國神社當日，大多是靖國神社本身的例行大祭日子。,"In fact, most of the days when the prime ministers visited the Yasukuni Shrine were the regular festivals of the Yasukuni Shrine itself.","('sd',)"
在參拜表之中出現很多同月同日的參拜日子，假如加入例行大祭之日子，可使用戶更明白歷代首相為何偏偏要選某一天去參拜。,"There are many visiting days of the same month and the same day in the visiting table. If you add the day of the routine festival, users can better understand why the prime ministers of all generations choose a certain day to visit.","('sv',)"
建议将日治时期，改为日据时期。,It is suggested to change the period of Japanese occupation to the period of Japanese occupation.,"('sd',)"
理由即为日本对于台湾的统治当时在本质上是属于殖民性统治，并没有与日本本土日本公民进行平等对待。,"The reason is that Japan's rule over Taiwan was essentially a colonial rule at that time, and it did not treat its native Japanese citizens equally.","('sd',)"
论证理由：在类比上，当时日本同台湾之关系如同英国同印度之关系。,"Reasons for argument: In terms of analogy, the relationship between Japan and Taiwan at that time was like the relationship between Britain and India.",()
思源宋体包含了大多数的生僻字，极有可能包含这两个文字。,"Siyuan Song typeface contains most of the rare characters, and it is very likely to contain these two characters.","('sd',)"
而云字体技术可以在本地不用安装字体的情况下直接调用字体进行显示。,The cloud font technology can directly call fonts for display without installing fonts locally.,"('sd',)"
臺灣，古稱福爾摩沙。,"Taiwan, formerly known as Formosa.","('sd',)"
建議刪除“古稱福爾摩沙”。,"It is suggested to delete ""the ancient name Formosa"".","('sd',)"
如同wikipedia福爾摩沙條目所表述。,As stated in the wikipedia Formosa entry.,"('sd',)"
回應@user：您的建议中提出把“爭議”的定义模糊化，我如没理解错的话就是折中一下，出发点具有建设性。,"Response to @user: Your suggestion proposes to blur the definition of ""controversy"". If I understand correctly, it is a compromise, and the starting point is constructive.",()
另外您认为我的方案“不是完全不可接受的”，一并表示感谢。,"In addition, if you think my proposal is ""not completely unacceptable"", please also express your thanks.","('ft',)"
感谢您的意见。,Thanks for your input.,"('fc',)"
那么我大致说一下这条目的编排方式好了。,So let me roughly talk about the arrangement of this project.,"('^h',)"
主线是按照英文维基百科Typography条目梳理的，很多段落也是翻译自英文维基百科。,"The main line is organized according to the English Wikipedia Typography entries, and many passages are also translated from English Wikipedia.","('sd',)"
發布於2013年2月22日，源自ftc.gov(美國)。,"Published February 22, 2013, from ftc.gov (USA).","('sd',)"
使用手機都應該重視自己的隱私問題。,You should take your privacy seriously when using a mobile phone.,"('sv',)"
如果自己不顧好，很可能會出現像電影泰冏一樣，手機中毒、被植入追蹤器的情形。,"If you don't take good care of yourself, it is very likely that your phone will be poisoned and a tracker will be implanted like in the movie Thailand.","('sv',)"
我建议将此条目移动到阿兹特克帝国。,I suggest moving this entry to Aztec Empire.,"('sd',)"
因为此条目所介绍的大部分为历史上阿兹特克帝国的政治、历史、统治者。,"Because most of what this article introduces is the politics, history, and rulers of the Aztec Empire in history.","('sd',)"
我記得以前查的結果它應該是二二八和平公園，台北市政府工務局路燈工程管理處的網頁上也是說：經市長決定將深具歷史意義之台北公園易名為「二二八和平公園」。,"I remember that I checked before and it should be 228 Peace Park. The website of the Street Light Engineering Management Office of the Public Works Bureau of the Taipei City Government also stated that the mayor decided to change the name of the historically significant Taipei Park to ""228 Peace Park."" "".","('sd',)"
在“民主和注重法治等广纳性制度导致一个国家成为发达国家，美国就是先有民主、进入法理社会，才变成发达国家的。,"In ""Inclusive systems such as democracy and the rule of law lead a country to become a developed country, the United States first had democracy and entered a legal society before it became a developed country.","('sv',)"
”的说明中提到“有东亚国家这种经济先发展，之后才走向民主与法治等广纳性制度的例子存在”。,""" mentioned that ""there are examples of East Asian countries that developed their economies first and then moved towards inclusive systems such as democracy and the rule of law"".","('^q',)"
恕不从命，我不是只准攻击我只能接受的老实人。,"With all due respect, I am not an honest person who is only allowed to attack and I can only accept.","('sd',)"
听不懂，算束。,"I don't understand, don't worry.","('sd',)"
因為很多人認為孫中山的『聯俄容共』根本就是共產黨偽造的。,"Because many people think that Sun Yat-sen's ""Alliance with Russia and the Communist Party"" is simply forged by the Communist Party.","('sv',)"
馬其頓共和國的例子並不恰當。,The example of the Republic of Macedonia is not appropriate.,"('sd',)"
馬其頓改國號之前，維基百科之所以使用“馬其頓共和國”作條目名，主要原因是避免不必要的爭議，而不是為了消歧義。,"Before Macedonia changed its country name, the main reason why Wikipedia used ""Republic of Macedonia"" as its title was to avoid unnecessary disputes, not to disambiguate.","('sd',)"
国家机关条目一般以官方标准全称为名，没有道理不用后者。,"State agency entries are generally named after the full name of the official standard, and there is no reason not to use the latter.","('sd',)"
请移回后者。,Please move back to the latter.,()
比如“葛洛班以歌手身份首次登台，是他七年級的時候，但是他很快便把它擱下了數年。,"For example, ""Groban made his debut as a singer in seventh grade, but he quickly put it aside for a few years.","('sd',)"
（四）文明用語，尊重自己與他人，恪守維基禮儀。,"(4) Use civilized language, respect yourself and others, and abide by wiki etiquette.",()
翻譯問題見仁見智，除非像韓國的首爾一樣，自己主動向華語世界提出漢字希望怎麼寫，那所有的華人也就尊重他們的願望照那樣翻。,"Different people have different opinions on translation, unless, like Seoul in South Korea, they take the initiative to ask the Chinese-speaking world how they want to write Chinese characters, then all Chinese will respect their wishes and translate them in that way.","('sd',)"
继上面的，参照刀剑神域的写法，如果两者用词一致，则不分开并使用自动繁简转换。,"Following the above, refer to the wording of Sword Art Online, if the two words are consistent, they will not be separated and automatic conversion between traditional and simplified will be used.","('sd',)"
否则则分开，并单独停止繁简转换。,"Otherwise, it is separated, and the traditional and simplified conversion is performed separately.",()
条目争议会牵涉到WP:命名常规里“使用中文”、“使用事物的常用名称”和“名从主人”这三条规则。,"Article disputes will involve the three rules of WP:Naming Conventions: ""Use Chinese"", ""Use common names of things"" and ""Name follows the owner"".","('sd',)"
“我的世界”满足第一条和第二条规则。,Minecraft satisfies the first and second rules.,"('sd',)"
某女子一詞因為太過平凡無法查證，但是我查過《凱的末裔》並沒有任何其他使用相同名稱的書名。,"The term ""a certain woman"" cannot be checked because it is too common, but I checked ""Descendants of Kai"" and there is no other title with the same name.","('sd',)"
搜索了一些其他条目对起义的用法，感觉这个词语已经深入人心。,"After searching some other entries for the usage of uprising, I feel that this word has been deeply rooted in the hearts of the people.","('sv',)"
似乎很难完全删除不用。,Seems to be hard to remove completely.,"('sv',)"
有如侵略与征讨、抵抗与反抗一样，语言要彻底中立化，是件非常困难的事情。,"Just like aggression and conquest, resistance and resistance, it is very difficult to completely neutralize language.","('sv',)"
这不是“名从主人”的问题，而是方言的问题。,"This is not a question of ""names follow the master"", but a question of dialects.","('sd',)"
当地人讲的毕竟是当地的方言，而不是普通话（虽然接近普通话），所以不能以当地发音作为其标准音（当然，我们可以标注当地的发音）。,"After all, the locals speak the local dialect, not Mandarin (although it is close to Mandarin), so the local pronunciation cannot be used as their standard pronunciation (of course, we can mark the local pronunciation).","('sd',)"
的确是机械翻译，从导言首句开始已经翻错了。,"It is indeed a mechanical translation, and it has been wrongly translated from the first sentence of the introduction.","('sd',)"
