Sentence,dialog_acts
The intro mentions the ISO 8601 international standard adopted in most western countries.,()
What does this even mean?,"('qw',)"
Who are we suggesting has done the adoption?,"('qw',)"
"I'm a user on PrettyCure.org, and somebody on the site said they are making a fourth season of PreCure.","('sd',)"
"It's a rumuor, but is it true?","('qy',)"
"That person said it's more like Tokyo Mew Mew, a group of girls.","('sd',)"
"Hello fellow Wikipedians, I have just added archive links to on Essen.","('fp',)"
Please take a moment to review my edit.,"('ad',)"
"If necessary, add after the link to keep me from modifying it.","('sd',)"
I saw the template citing this issue and since there was no section here discussing it I've decided to start one.,"('sd',)"
I'm a Canadian and most of our television programs are also aired in the US so my knowledge of what's on TV outside of North America is limited.,"('sd',)"
"So I'm not sure of how much help I can be, but I do have some ideas on how to improve this section and I'm open to feedback.","('sd',)"
According to the article on cigarette filters: cellulose acetate is not biodegradable.,"('sd',)"
Yet in this article it is mentioned that they can be composted or incinerated.,"('sd',)"
The referencing will definitely be fixed before the page goes live!,"('sd',)"
Thank you for the sources; they're very helpful.,"('ft',)"
"User 75.143.110.44 added a note on 04: 09, 11 February 2008 that Delta Air Lines uses Boeing 757 aircraft during the busier Spring and Summer travel periods.","('sd',)"
"I agree that at a minimum in Summer 2007 that was true as I remember seeing this aircraft with a mid-day departure, however I wondered if that upgauging is expected on an ongoing basis.","('aa', 'sd')"
"When I was a student at a tertiary neuroological centre, I was taught that Reye's syndrome is one of a family of mitochondrial diseases (mitochondropathies), which explains its multi-system nature and its predominant effects on liver and brain.","('sd',)"
Unfortunately this now lies well outside my field of expertise.,"('sd',)"
It is essential to say that electomagnetic radiation is composed of photons.,"('sd',)"
"Radiation in form of waves can be any kind of radiation icluding alpha, beta, neutron etc.","('sd',)"
In fact radiation and waves are synonymous in modern physics.,"('sd',)"
Another way to interpret this fable is with the now cliche pride cometh before the fall.,()
Here is another interpretation of the story; taking pride in a gift is the same thing as not having it.,"('sv',)"
Thanks for your response.,"('fc',)"
"I agree with you that the edit warring and other methods employed by the user Traineek were without a doubt unconstructive, which has resulted in him/her being blocked for 31 hours.","('aa',)"
"To explain the context of my inquiry and the reasons for the RFC, the Controversy section was there at the time I was composing the RFC - I'm aware that this has since been reversed.","('sd',)"
A models tend to be the original iteration of an airframe used for operational testing before the mass production of said airframe.,"('sd',)"
Some are simply not very notable.,"('sv',)"
Some were converted into the B-models with only slight modifications.,"('sd',)"
"You removed the sourced phrase right here, and I reverted it right here.",()
"Claims to the contrary are hard to uphold, (I obviously didn't remove the phrase) when edit history is plainly available, and you even link to the reversion showing that you removed it yourself.","('sd',)"
"Hello fellow Wikipedians, I have just added archive links to on United World Wrestling.","('sd',)"
Please take a moment to review my edit.,"('ad',)"
"If necessary, add after the link to keep me from modifying it.","('sd',)"
As long as this can not be confirmed I see no point of adding it.,"('sv',)"
It doesn't further our knowledge with the library in any helpful way.,"('sv',)"
What makes you think it isn't confirmed?,"('qw',)"
"I saw this, but don't really have a lot to say.","('sd',)"
"Yes, consensus is needed.",()
You should abandon your editor since it causes unnecessary coding to be inserted to make it work for its own use.,()
"I'm not a Wiki regular, so I don't want to mess with the page, but may I suggest: The reference to Kytoon in the second paragraph seems out of place at the top of the entry.","('sd',)"
This is a very unusual and untypical type of kite.,"('sv',)"
A redirect would seem to accomplish the both names issue.,"('sv',)"
"The question is what the current article should be called, and WP: COMMONNAME makes it clear that name changes should be respected if reliable sources switch over, which they have.","('sd',)"
"I removed the following paragraph from the intro: It should be mentioned that since Jesus called himself a shepherd and not a lamb, so some Christians reject the title, and reject the idea that Jesus was the passover lamb for in Exod.","('sd',)"
12 the lambs are not sacrificed to God.,"('sv',)"
It seems to me that this article could have been edited less arrogantly and destructively.,"('sv',)"
"Is it necessary to say, This article is wrong, or, this is stupid?","('qh',)"
"Due to the way this Talk page was edited, I'm not sure who asked, what is the answer then?, or whether the question was ever answered.","('sd',)"
"Current redirects are: Florence Cathedral, Florence cathedral, Basilica di Santa Maria del Fiore (previously title I think), Duomo (Florence), Santa Maria del Fiore (Florence), Florence Duomo, Santa Maria del Fiore, Duomo di Santa Maria del Fiore, Santa Maria di Fiore,Il Duomo !, Cathedral of Florence, Brunelleschi's Dome, & maybe some I've missed.","('sd',)"
In the main body of the text it says he was seventy-ninth and last Prime Minister of Iran but in the info box on the right it says that he was the 49th Prime Minister of Iran.,"('sd',)"
"I have no idea what the answer is, but thought I'd mention the question in case someone who knows what they're talking about can reconcile these two.","('sd',)"
Please make them consistent if you can.,"('sv',)"
"I've seen German websites call it the Mikawa inu, but we should go with what the Japanese wikipedia has.","('sd',)"
"Also, I think it's pretty clear that if we're going to debate whether it can be called a Mikawa inu, we should be far more reluctant to let anyone add 'Japanese wolfdog' as the dog's primary name, much less an alternative.","('sv',)"
"If it violates guidelines and there's an alternative handy, I'd say swap it out.","('sv',)"
"Regarding Japanese alternatives, I personally don't know any Japanese so I can't help out there.","('+',)"
"(Actually, AFAIK, none of the regular editors to the Slam Dunk articles know Japanese..","('sd',)"
Would it make sense to merge the page on Ozone-oxygen cycle to here?,"('qy',)"
I am not very happy with that page - too small really and does not really to my mind get across the essentially cyclic nature of the Chapman cycle.,"('sd', 'sv')"
The USC Monogram is the shorthand identifier for USC.,"('sd',)"
"As an acronym, it is often used to identify the university in a variety of applications, such as printed materials, signage and merchandise.","('sd',)"
It is also the official identifier used on the USC Web site.,"('sd',)"
"JIP, I agree with you, I also never saw this race message Le Guin was trying to communicate.","('aa',)"
I suppose this is only because I have just recently read these books and i am 22 so have been used to anti-racism for most of my memory.,"('sd',)"
"We all have to remember when Le Guin actually wrote this series, things were very different back then and those memories and values may still stand with her today.","('sv',)"
There is an accepted scholarly notation for sexagesimal numbers that I recently added to the article.,"('sd',)"
The article's main text uses a method of separating orders of sexagesimal numbers by colons.,"('sd',)"
I have never seen this notation before except in time reckoning.,"('sd',)"
This link and reference of Hillsborough to Human Stampedes needs to be taken down immediately.,()
The Hillsborough Independent Report has proven that there was no 'stampede' at Hillsborough.,"('sd',)"
By including Hillsborough under the banner of 'human stampede' you are suggesting a falsehood.,()
I agree and want to recognize your many contributions to the history of the ROC.,"('aa',)"
And this is all the more reason to split into manageable articles.,"('sv',)"
"If there's so much content, there needs to be more articles, not clumsily keeping in one unreadable mess.","('sv',)"
"Actually, the writers do like to confuse.","('sv',)"
"They don't let us know what gender Ash's Pikachu is, for example (or at least refused to do so for a very long time).","('sd',)"
"They may want to declare they are opposite genders, without choosing one for either Bulbasaur.","('sd',)"
I was looking for references about this issue a while ago.,"('sd',)"
"Online, you can find several discrepancies.","('sd',)"
Rangefinders should be removed.,"('sd',)"
"MILC, though a terrible term which should be abolished in favor of SLM or nearly anything else (Honey, be sure to grab the MILC before we leave for the airport!","('+',)"
"has never been and will never be uttered), is a generic term to describe a new camera category that didn't exist prior to the G1.",()
"Rangefinders already had their generic term, rangefinder.","('sd',)"
It's nothing to do with bias.,()
Major objections to your edits are the liberal incorporation of sections copied and pasted from the article Brazilian jiu-jitsu and from Clinch fighting.,"('sd',)"
These introduce concepts and terms that are not recognised in mainstream judo.,"('sv',)"
I am challenging the primary source that claims this species is a living fossil.,"('^q',)"
"For those of you that are unaware, Wikipedia allows primary sources to be used only for uncontroversial statements such as birthdays.","('sd',)"
Other material requires reliable secondary sources.,"('sv',)"
Does anyone know of the citation where Russolo is listed as one of Busoni's pupils?,"('qy',)"
"I'm currently researching both and it would help me out a lot, but I haven't come across it in any of my readings.","('sd',)"
I inserted a request for a reference.,"('sd',)"
"The text is practically the same as the one you can find in A Grammar of Modern Indo-European (v.3.30), pages 43-45.","('sd',)"
You can check the book here.,"('sd',)"
They do mention the Wikipedia as one of their resources in the bibliography at the end of the book.,"('sd',)"
I reckon that an encyclopedia should not make such mistakes and should evade using colloquialisms.,"('sv',)"
Russia appeared only in 1991.,"('sd',)"
Between 1922 – 1991 there was USSR not Russia.,"('sd',)"
I've cleaned up the rest of the allkpop and soompi refs.,"('sd',)"
The only one left is the claim that Why?,"('sd',)"
(Keep Your Head Down) set a record of most number-ones in Japan by a foreign artist.,"('sd',)"
You need to expand your consumption of cheese.,"('sv',)"
O.o and I don't think your description of the smell quite describes it either.,()
I have never had nattou that smelled like dirty socks or a dead body.,"('sd',)"
Can someone provide some proof that batteries or generators have the greatest power output when the load is at the same resistance as the internal resistance?,"('qy',)"
I do not believe this is correct.,()
The output should be the greatest at the lowest load resistance.,"('sd',)"
I don't think he is a muslim.,"('sd',)"
Not all Iranians are muslims.,"('sd',)"
He plays for a team who's owners sell ham.,"('sd',)"
The brief videos contain little information and a big promotion for the book.,"('sd',)"
The links are to a commercial website dedicated to selling the book.,"('sd',)"
"When I changed the link to access YouTube directly (thereby somewhat reducing the commercial nature of these links), the poster changed the links back to the commercial website.","('sd',)"
quoting the article The Harry Potter books are frequently compared to the works of Diana Wynne Jones.,"('sd',)"
