Sentence,Translated Sentence,dialog_acts
再び横からすみません。,Sorry again from the side.,"('fa',)"
詐欺師とする出典が「わたしは洗脳された」のみのようですが、別の出典も併用した方が良いと思います。,"It seems that the source of the scammer is only ""I was brainwashed"", but I think it is better to use another source as well.","('sv',)"
例えばでは法律事務所が「詐欺」だと判断しています。,"For example, a law firm has determined that it is a ""fraud"".","('sd',)"
ご意見ありがとうございます。,Thank you for your feedback.,"('fc',)"
そもそも、どちらが多いかは難しいところと感じています。,"In the first place, I feel that it is difficult to decide which one is more.","('sv',)"
現地音であれば、ヴですが日本で慣用的にウで表記が多かったのもあり。,"If it's a local sound, it's V, but in Japan, it's commonly written as U.","('sd',)"
書くとした場合は、Wikipedia:検証可能性に基づけばよいでしょう。,"If I were to write one, I would base it on Wikipedia:Verifiability.","('sd',)"
「次の版では修正されるはずである」は「現状検証可能な情報源においては修正前（とされる）の文言である」の裏返しです。,"""should be corrected in the next edition"" is the flip side of ""currently (allegedly) uncorrected wording in verifiable sources"".","('^q',)"
お忙しいところご意見を下さり、ありがとうございます。,Thank you for taking time out of your busy schedule to give us your opinion.,"('fc', 'ft')"
（１）については出典を尊重するしかないと思いました。,"Regarding (1), I thought that there was no choice but to respect the source.",()
御意見は尊重いたします。,We respect your opinion.,"('sv',)"
ただ「～科」と「～学」を分けてそれぞれに記述するのは無理があるのではないかと自分は思います。,"However, I think that it is unreasonable to separate ""--ka"" and ""--gaku"" and describe them separately.","('sv',)"
強いて言えば単に日本語の問題に過ぎないからです。,"If I had to force it, it would be nothing more than a Japanese language problem.","('sd',)"
上記の内容はおかしいでしょう。,The above content is ridiculous.,"('sv',)"
例えば、「入れ墨」。,"For example, ""tattoo"".","('sd',)"
外来語になると「タトゥー」と表現します。,"When it comes to foreign words, it is expressed as ""tattoo"".","('sd',)"
形状を説明する為に大きさを書いた訳ですが、独自研究との指摘を受けると否定材料はありません。,"I wrote the size to explain the shape, but there is no negative material when it is pointed out that it is an original research.","('sd',)"
文字資料にない数値はすべて独自研究にあたるとして、とりあえず以前の版を元に記述を直した方がよさそうですね。,"It seems better to correct the description based on the previous edition for the time being, as all the numerical values ​​not in the written material are original research.","('sv',)"
そうですね。,I agree.,"('aa',)"
移動による改名であれば自動的にリダイレクトは残りますし、残しておいていいと思います。,"If the name is changed by moving, the redirect will remain automatically, and I think you can leave it.","('sd',)"
もちろん判決でも可能です。,"Judgment is possible, of course.","('sv',)"
簡単に言うと次のようになります。,In a nutshell:,()
合意による共同親権は可能です。,Joint custody by agreement is possible.,"('sv',)"
誘導の掲載期間は3か月に同意します。,I agree to post the induction for 3 months.,"('sd',)"
ここからは関係のない感想とのことですが一応お返事しておきます。,"From here, I will reply to your unrelated impressions.","('sd',)"
私が何をしたかわからないならおたずねいただきたかったですね。,"If you don't know what I did, I wanted you to ask me.",()
に投稿したものです（東日本侍による付記）。,(Additional note by East Japan Samurai).,"('sd',)"
（コメント）Wikipedia:独自研究は載せないも読んでください。,(Comment) Please also read Wikipedia: Do not post original research.,"('sd',)"
ここは、荒らしについて議論をしている場所なので、記事を書く場所ではありません。,"This is not the place to write an article, as we are discussing trolls.","('sd',)"
僕も青子守唄さんと同じ意見です。,I have the same opinion as Aokomoriuta.,"('sd',)"
要約欄に書いてある通りの適切な編集です。,Proper editing as written in the summary section.,()
そして、繰り返しをしているようにも見えません。,And it doesn't look repetitive.,"('sv',)"
英語のinvasionは、日本語の「侵攻」のように否定的な意味ではありません。,"The English word invasion does not have a negative connotation like the Japanese word ""seizure"".",()
否定的な意味にも使われますが、中立的にも使われます。,"It can be used in a negative sense, but it can also be used in a neutral way.","('sv',)"
おじゃまします。,"Excuse me,","('ad',)"
すみません、210.163.146.28です。,"Excuse me, it's 210.163.146.28.","('sd',)"
さんに質問ですが、記事に附属するノートページに履歴継承のテンプレートを貼るようですので、翻訳元の版を教えてください。,"I have a question for Mr., but it seems that a template for history inheritance is pasted on the note page attached to the article, so please tell me the original version of the translation.","('sd',)"
せっかく分類体系の概念を横断して読める記事ですので削除されないようにしたいです。,"Since it is an article that can be read across the concepts of the classification system, I would like to prevent it from being deleted.","('sd',)"
本文記事中の人物写真が余りに記事と無関係です。,The person's photo in the main article is too irrelevant to the article.,"('sv',)"
特に(1)カーターと鄧小平の写真は1979年と事件の10年前のもので、(2)クリントンと江沢民の写真は、1999年と事件の10年後のものです。,"Specifically, (1) the photos of Carter and Deng Xiaoping are from 1979 and 10 years before the incident, and (2) the photos of Clinton and Jiang are from 1999 and 10 years after the incident.","('sd',)"
とされていました。,It was said.,"('sd',)"
しかしこの文献は少々古いので、あまり現状を反映したものではないと思います。,"However, this article is a little old, so I don't think it reflects the current situation very much.","('sv',)"
そもそも「テロ」なのでしょうか。,"Is it ""terrorism"" in the first place?","('qy',)"
デジタル大辞泉では「政治的目的を達成するために、暗殺・暴行・粛清・破壊活動など直接的な暴力やその脅威に訴える主義。,"According to the Digital Daijisen, it is the principle of resorting to direct violence or the threat of violence, such as assassinations, assaults, purges, and subversive activities, in order to achieve political goals.","('sv',)"
テロ。,terrorism.,()
」となっています。,”.,()
Suzukitaro様、ありがとうございます。,"Thank you very much, Mr. Suzukitaro.","('ft',)"
統合の件では迷いがあり、失礼しました。,I apologize for the confusion regarding the integration.,"('fa',)"
(曖昧さ回避)ページを作ることには、好意的に検討できると思います。,(Disambiguation) I think we can give a favorable consideration to creating a page.,"('sv',)"
＞改名しないのは釈然としない、という「評価」は必要ないのではないでしょうか。,"> I don't think there is a need for ""evaluation"" that it is unacceptable not to change the name.","('sv',)"
確かに、普通のタレント同士であれば（当事者同士が納得しているなら）さほどの問題は無いでしょう。,"Certainly, if it is between ordinary talents (if the parties are convinced), there will not be much of a problem.","('sv',)"
ありがとうございます。,thank you.,"('fc',)"
確かに、内閣総理大臣に元首の地位を付与する学説は、行政各部を指揮監督する権限によるところが大きいというのもありますね。,"Certainly, the doctrine that grants the position of head of state to the prime minister is largely due to the authority to direct and supervise various administrative departments.",()
現在の記述の仕方は、ページの頭から見る人にとっては非常に不親切な、話をよく知っている人だけの自己満足で終わりかねない構造です。,The current way of writing is a very unfriendly structure for those who look at the top of the page and can end up with self-satisfaction only for those who know the story well.,"('sv',)"
少なくとも基本的な用語や概念は記事の最初の方で触れた方がいい。,At least the basic terms and concepts should be covered at the beginning of the article.,"('sv',)"
「キッチュという芸名を名乗っていたタレント」などについてのあいまいさ回避ページは、以前あったのですがなんらかの理由で削除されたようです。,"There used to be a disambiguation page about ""talents who used the stage name Kitsch"", but it seems to have been deleted for some reason.","('sd',)"
宣伝と判断されたのかもしれません。,It may have been considered an advertisement.,"('sd',)"
MMMRCOWさんへ。,To MMMRCOW.,"('+',)"
タブロイド紙が「何がしが～と言った」と書いても信憑性はないが、誰かが何かを言ったことがラジオで放送されたら、言ったこと自体は信憑性があるということですね。,"It is not credible for a tabloid to say, ""What did you say?"", but if it is broadcast on the radio that someone said something, what they said is credible. hey.","('sv',)"
この記事の編集に携っておられる方々にお伺いします。,I would like to ask the people who are involved in the editing of this article.,"('sd',)"
サッカー選手/ブラジル人選手の名前#問題の解決の方向性（以下PJ運用方針）をご覧下さい。,Please see the name of the soccer player/Brazilian player#Direction of problem solving (hereinafter referred to as PJ operation policy).,()
アドバイス有難うございました。,Thank you for your advice.,"('fc', 'ft')"
色々なことを知ることができて、とても参考になりました。,I learned a lot and it was very helpful.,"('sd',)"
テンプレート多用による脚注崩壊」は記事の分割では根本的な解決になっていません。,"Footnote collapse due to overuse of templates"" is not a fundamental solution by dividing articles.",()
もし近い将来、分割先記事も肥大化等して脚注崩壊に陥った場合、いかがするおつもりでしょうか。,"If, in the near future, the articles to which the articles are divided become bloated and fall into the collapse of the footnotes, what do you intend to do?","('qo',)"
公式ブログ上にて天野月名義での活動を行っていく旨が発表され、1月1日より天野月公式サイトが運営開始されました。,"On her official blog, it was announced that she would carry out activities under the name of Tsuki Amano, and from January 1st, the official website of Tsuki Amano was launched.","('sd',)"
以降この名義で活動していくものと思われますので、項目名の移動を提案いたします。,"Since it seems that it will be active under this name from now on, I propose to move the item name.","('sd',)"
誤解があるようですが、この記事は「白泉社の発行物」としての記事ではなく、一作品の記事です。,"There seems to be a misunderstanding, but this article is not an article as a ""publication of Hakusensha"", but an article of one work.",()
その中で白泉社からの発行物という二次情報が得られるのは、一次情報サイトではありません。,"Among them, secondary information such as publications from Hakusensha is not available from primary information sites.","('sd',)"
なぜ「あくまで補足であり、全体的には日常生活に関するものです」とのように主張されるか理解できません。,"I don't understand why it is claimed that it is ""only supplemental and overall about daily life"".",()
左利きか右利きかの章では一つ目の段落がストラトの演奏方法、二つ目もギター奏法に関しての記述です。,"In the left-handed or right-handed chapter, the first paragraph is about playing the Strat and the second is about playing the guitar.","('sd',)"
（１）唐突とされた部分を少しだけ手直して、同監督の同時代の作品であることを明記。,"(1) Slightly reworked the abrupt part, clearly stating that it is a work of the same director's contemporaneous period.",()
（２）についてはMURMUR4040さんの「暴力を視覚的に美しく表現する」を採用。,"For (2), I used MURMUR4040's ""Visually express violence"".","('sd',)"
731部隊は軍事裁判で判決は下されていない誰も処罰されてないし。,Unit 731 has not been sentenced by a military tribunal and no one has been punished.,"('sd',)"
朝鮮とは戦争していないのだから戦争犯罪にはならないだろ。,"There is no war with Korea, so it is not a war crime.","('sv',)"
しかも閔妃の暗殺は第二次世界大戦とは関係ない。,"Moreover, Queen Min's assassination has nothing to do with World War II.","('sv',)"
Ksさん、ありがとうございます。,Thank you Ks.,"('ft',)"
該当文献を読みましたが、確かに記述されていますね。,"I've read the relevant article, and it's certainly written.","('sd',)"
ただ、これまでのモニターリングでは検出されていないようなので、その分を書き加えおきました。,"However, it seems that it has not been detected in the monitoring so far, so I added that part.","('sd',)"
「福島原発の事案が落ち着いた頃」というあいまいな時期は反対です。,"I am opposed to the ambiguous time of ""when the Fukushima nuclear power plant incident calms down.""","('^q',)"
いつになるかわかりませんし、この記事は別の事故を扱っているので、すべて保護というのは弊害が大きすぎると思います。,"I don't know when it will be, and this article deals with another accident, so I think all protection is too harmful.",()
そんなことはリンクを張った人に聞いてください。,Ask the person who posted the link about that.,"('ad',)"
記事があれば無条件にリンクを張って良いと思っているようですが、百科事典の質について考えた事は無いのでしょうか。,"You seem to think that if you have an article, you can link to it unconditionally, but have you ever thought about the quality of an encyclopedia?","('qy',)"
ご意見ありがとうございます。,Thank you for your feedback.,"('fc',)"
なかなか来られなくて申し訳ありません。,I'm sorry I couldn't come.,"('sd',)"
どうも、お久しぶりです。,It's been a long time.,"('sd',)"
本件に関する私の考えは上記のままで変更ありません。,My opinion on this matter remains the same as above.,"('sd',)"
（コメント）同感です。,(Comment) I agree.,"('aa',)"
今のところ全体で62キロバイト、うち登場人物の節が36KBを占めています。,"So far it's 62KB in total, of which the character section occupies 36KB.","('sd',)"
それをさしおいて現在11KBそこそこのアニメの節を分割する理由はないように思います。,"Aside from that, I don't think there's any reason to break up an anime section that's a little over 11KB now.","('sv',)"
現在このページでは製品関係の節がかなり肥大化しています。,The product section on this page is now quite bloated.,"('sd',)"
そこで分割を提案します。,I propose a split.,"('sd',)"
まぁ、第三者が言うなら仕方がないですね。,"Well, it can't be helped if a third party says so.","('sv',)"
ご理解いただきありがとうございます。,thank you for understanding.,"('fc', 'ft')"
それと、らりたさんがこの記事に保護をかけられたのは当事者の措置禁止ルールに触れる恐れがあります。,"Also, the fact that Mr. Rarita was protected by this article may touch on the rules prohibiting the action of the parties concerned.","('sv',)"
へ改名することを提案します。,I suggest renaming it to,"('sd',)"
一意でありません。,Not unique.,"('sv',)"
調査ご苦労様です。,Thank you for your hard work.,"('fc',)"
私としては、Webの検索よりは新聞などの表記を想定していました。,"As for me, I was assuming notation such as newspaper rather than web search.","('sd',)"
Greeneyesさんのコメントにもある通り、この件数だけでは特にどの表記とも言えないと思います。,"As Mr. Greeneyes commented, I don't think it's possible to say anything about this number alone.","('sd',)"
2.0をご確認願います。,Please check 2.0.,"('ad',)"
訳出元となった英語版にオライリーと同じ比較表が含まれており、日本語版では著作権を侵害する可能性が高いとして削除されました。,"The English version, which was the source of the translation, contains the same comparison table as O'Reilly, and the Japanese version has been deleted as it is likely to infringe copyright.","('sd',)"
化学の節、いいですね。,Chemistry section is nice.,"('sd',)"
位置については、生化学の後に化学ってくるのも変なような気もします。,"As for the position, I also feel strange that chemistry comes after biochemistry.","('sd', 'sv')"
下に下げる場合はまた節の名前を変えた方がいいと思います。,"If you want to move down, I think you should change the name of the section again.","('sv',)"
質問の意味が分かっていないようですね。,You don't seem to understand the question.,"('sv',)"
一つは、あなたがたは「その夏」と書いていますが、わたしは「この夏」と書きました。,"One, you wrote ""that summer,"" but I wrote ""this summer.""","('sd',)"
移動させていただきました。,I have moved.,"('sd',)"
では、この続きはノート:処女喪失にて継続ということでお願いいたします。,"Now then, please continue with Note: Loss of Virginity.","('ad',)"
—以上の署名の無いコメントは、125.202.64.159（会話・履歴）さんによるものです。,—The above unsigned comments are from 125.202.64.159 (conversation/history).,"('sd',)"
Wikipedia利用者の皆さん、初めまして。,Hello to all Wikipedia users.,"('fp',)"
Partyの管理者を務めるアポロ船長と申します。,My name is Captain Apollo and I am the administrator of Party.,"('fp',)"
製作者のこだわり如何で決められましても……。,Even if it is decided by the producer's commitment...,"('sv',)"
Ｋｅｙ関連の記事は特にネタバレは排除される傾向にあります。,Key-related articles tend to exclude spoilers.,"('sd',)"
まとまりが無くて、本項目としての論旨がわかりません。,"There is no unity, and I do not understand the gist of this item.",()
冒頭の概説を中段の「ラッキーマザー説」で覆したかとおもえば、そのあとの「注釈」でラッキーマザー説を否定しています。,"If you think that the outline at the beginning is overturned with the ""lucky mother theory"" in the middle, the ""commentary"" after that denies the lucky mother theory.","('sd',)"
改名しました。,renamed.,"('+',)"
引き続き、「ノート:精神疾患」から「ノート:精神障害」への改名を提案します。,"I continue to propose renaming ""Notes: Mental Illnesses"" to ""Notes: Mental Illnesses"".","('sd',)"
移動先に空ではないノートページが存在するため、ノートページは移動できませんでした。,The note page could not be moved because there is a non-empty note page at the destination.,"('sd',)"
チューニング雑誌から知識と、どこかのショップの人が言ってたハナシなどを合成しただけのエッセー。,An essay that is just a synthesis of knowledge from tuning magazines and what someone at a shop said.,"('sd',)"
せめて雑誌名だけでもいいから出典としてあげることはできないでしょうか。,Is it possible to cite at least the name of the magazine as a source?,"('qy',)"
これでは百科事典になりません。,This is not an encyclopedia.,"('sd',)"
(歴史書)」ともあろう記事に出典らしい出典がないのでしょうか。,"(History book)"" Is there no source that seems to be the source of the article?","('qy',)"
編集合戦する以前に、信頼のできる情報源を提示した執筆をおこない、編集合戦の起こらない記事にすべきです。,"Before you start an edit war, write with credible sources to avoid an edit war.",()
かもちゃんずさん、ご返答ありがとうございます。,"Kamochanzu, thank you for your reply.",()
私が提案し意見を求めていたのは「注意」テンプレートの内容および取り扱いについて「のみ」です。,My suggestion and request for input is ONLY about the content and handling of the CAUTION template.,"('sd',)"
確かに今の内容だと変わりませんね。,It certainly doesn't change what it is now.,"('sv',)"
英語版では、界面活性剤（en:Surfactant）および両親媒性（en:Amphiphiles）の二つに分かれています。,"In the English version, they are divided into surfactants (en: Surfactants) and amphiphiles (en: Amphiphiles).","('sd',)"
これまでの流れと少し違う話になるのでインシデントを戻します。,I'll return to the incident because it's going to be a little different story from the flow so far.,"('sd',)"
