Sentence,Translated Sentence,dialog_acts
"No sé quien demonios escribió este artículo pero espero por su bien que sea una copia del resultado de una traducción usando el traductor de google, porque vaya basura, cantidad de faltas, incoherencia y frases sin sentido que hay, sobre todo en el apartado DESARROLLO.","I don't know who the hell wrote this article but I hope for your sake that it is a copy of the result of a translation using google translator, because what a rubbish, amount of errors, inconsistency and nonsense phrases that exist, especially in the DEVELOPMENT section.","('sd',)"
Por favor que alguien con tiempo y que haya visto la película (por favor omita spoilers) lo reedite por completo el artículo.,Please someone with time and who has seen the movie (please omit spoilers) completely reissue the article.,"('sv',)"
Me preocupa la cantidad de enlaces rojos que tiene este artículo.,I am concerned about the amount of red links this article has.,"('sd',)"
"Si esos artículos se crean siempre se pueden volver a wiki enlazar, pero mientras tanto hay demasiados.","If those articles are created they can always be relinked to the wiki, but in the meantime there are too many.","('sv',)"
"Se podrían crear esbozos para ellos o retirarlos si se cree que no van a ser creados próximamente, para que no causen tan mal efecto.","Sketches could be created for them or removed if it is believed that they are not going to be created soon, so that they do not cause such a bad effect.","('sd',)"
"En este artículo hay dos puntos de vista de la luz que no pueden estar en el mismo artículo: El primero es la visión de la luz como parte visible del espectro electromagnético La segunda es el concepto de luz como onda electromagnética, que engloba todo el espectro electromagnético, y que se refleja en términos como velocidad de la luz, refracción de la luz, etc...","In this article there are two points of view of light that cannot be in the same article: The first is the vision of light as a visible part of the electromagnetic spectrum The second is the concept of light as an electromagnetic wave, which encompasses the entire spectrum electromagnetic, and which is reflected in terms such as speed of light, refraction of light, etc...","('sd',)"
"La única ambigüedad de la ley en España es en lo relativo a la venta y posesión de semillas, que no tienen cannabinol, y por ello de momento no está penada su venta ni posesión.","The only ambiguity in the law in Spain is in relation to the sale and possession of seeds, which do not contain cannabinol, and for this reason their sale or possession is not punishable at the moment.","('sv',)"
"En cambio, el cultivo y venta de la planta, en cualquier cantidad es ilegal.","Instead, the cultivation and sale of the plant, in any quantity, is illegal.","('sd',)"
"Me gustaría comentar o discutir sobre el título, La información es un fenómeno que proporciona significado o sentido a las cosas, e indica mediante códigos y conjuntos de datos, los modelos del pensamiento humano.","I would like to comment or discuss the title, Information is a phenomenon that provides meaning or sense to things, and indicates through codes and data sets, the patterns of human thought.","('sd',)"
"La información por tanto, procesa y genera el conocimiento humano.",Information therefore processes and generates human knowledge.,"('sv',)"
