Utterance,labels
請問有關批評事宜是否有需要寫出或以中立角度寫出? 因為英文版也沒有列出相關事宜，外人一般較以理解。 如果真的有需要寫出的話，有關以下言論是否需要以中立立場修改一下?,3.3333333333333335
不可直接以搜索結果的多寡來定奪名稱正確與否。 如上所言，Snooker和English billiards同屬「英式桌球」類，加上「-{比力}-」或「-{士碌架}-」只是為了消除歧義。,1.6666666666666667
我是来抱怨一下的！ 年轻人都喜欢找有WiFi的地方上网，还以为WiFi就是无线网络信号，本想到维基百科下的WiFi词条增长一下知识，可是越看越糊涂，看完完全不知道WiFi是什么了。,1.6666666666666667
既然子條目名開宗名義就是成員，那麼為什麼搬到該條目的是57個創始成員國列表，而不是97國的成員國列表放在那裡？ 後者我才前幾天才更新完。 前者的資料來源，抱歉，實在找不到，建議刪除。,1.6666666666666667
说白了，这个编辑战，你所在的一方只有你一个吧？ 如果这一节直接使用 “中国”的表述方式，同时旗帜是当时（1945年）中华民国的国旗，我完全同意，因为这反映了历史事实。,1.0
三位好，之前一忙，沒注意到互助客棧還繼續在討論，現在才看到轉貼過來的討論內容。 在下亦贊同Hanteng不使用「雙邊第一手來源」的原則，這符合維基百科方針。,3.6666666666666665
錦糸町是直接使用原文，不是甚麼拿雞毛當令箭。 繁體中文版的路線圖是東京都交通局和東日本旅客鐵道發佈的，所謂「不知道找哪個人隨便翻譯出來」完全是胡說八道。 這其實跟仙台的情況也有類似。,0.3333333333333333
本條目為11月14日「台灣知識種子計畫」中，「醫週譯小時」工作小組共同翻譯的成果。 一群醫學院的學生共同合作，將英文維基百科中，已經過專家審核的引言部分，翻譯成中文。,2.0
把这条没有来源的争议放到三沙市条目中并不恰当，维基百科的正式方针包括可供查证和非原创研究。 所谓来源理应指的是具体发出这种质疑的来源，而不是印证某种论点的来源。,2.0
我认为上海站和上海站的地址是两个概念。 1987年以前的宝山路路口的老北站的官方标准称谓即是上海站。 而沪杭铁路上海站，其实也就是上海站的一个部分。,2.3333333333333335
"原来是“曾因言論被警察傳喚,審查的真實的大陸人”？！ 那岂不是直接有利益冲突，“日軍在中國的大屠殺這個題目也被標示為沒有參考來源”那是某编者根本不看内部链接，所对应条目中来源不算来源当我没说。",0.3333333333333333
以 Fedora 6 為例，GeForcce的驅動程式綁X11的版本綁得很兇，只要一更新Linux的X11的套件。 GeForcce的驅動程式大概就掛掉一半了。,1.6666666666666667
条目太不中立。 大量篇幅是丑化义和团英雄，美化基督教以及八国联军势力。 比如奸污的形象，事实上奸污行为的是基督教传教士。,2.0
其實在前面已說明在20世紀20至50年代出現了來源，所以我才認為“此问题最终于1950年代修正。 ”不需特別添加來源，不過既然你認為應該添加來源，那就添加囉。 這個我沒有意見。,1.3333333333333333
些对问题的说明，2.以及6.我回头直接另写一个各国政府管理域名的方式的条目，并链接到本条目。 3.由于“中国”域名关注度已经下降了，目前没有找到这样的行为。 4.这是一个比喻，来自于英文原文。,2.0
2015年1月成立羅馬首都廣域市，因为“2015年1月29日 (四) 21:31‎”这笔移动。 导致之前的罗马省的版本归到本条目。,2.0
「延長線」是一種多插座的電器用品啊（我不知道大陸怎麼稱呼這種東西）。 叫「延伸段」如何？ 例如上海轨道交通11号线就存在有「11號線延伸段」的用法，台灣的捷運也有，相信最能符合各方語法。,2.3333333333333335
Special:LinkSearch/*.yu返回本地163个结果。 看样子不是非常多，应该可以处理。 在知道新域名的情况下，pywikipediabot即可用replace.py替换。,2.3333333333333335
我個人贊成方案三，雖然表述起來有些複雜，但操作起來其實是最簡單的。 當下的條目大多符合方案三的要求，需要大改動的條目不多。 但最終要不要改，按什麼樣的方案改，還是經廣泛討論，達成共識比較好。,2.6666666666666665
歡迎大家繼續給予本條目寶貴的意見！ ^__^ Your opinions will make this article better!,4.0
Anomalocarididae 原為奇蝦科，不作更動。 奇蝦為廣泛流通之俗名，以下譯名將以「蝦」作為核心。 Amplectobeluidae 原為抱怪蟲科，改作鉗蝦科。,2.0
符合标准，感谢贡献。 在簋街胡大看的，嗓子都喊哑了。,2.6666666666666665
我主要是用我手邊的三個資料來源，英文版的確沒有照著翻譯。 至於都爾和瑪爾定這兩個譯詞是既有的翻譯名詞。,2.0
“1962年4月时，NET电视台平均播出16小时的学校教育节目”：这16小时是每周还是每月呢？ 最好标注一下。,2.3333333333333335
年份条目的引言应该做到简短，毕竟要考虑到读者的感受，看到长长的引言自然会使阅读兴趣降低一大半。 但是像香港回归这样的条目是介绍一事件，较长的引言能够帮助读者快速地了解事情的梗概（毕竟不用翻太多）。,2.6666666666666665
没有人说过英文维基的内容不重要，但User:Wangxuan8331800却非要一味的说日文维基的内容不重要，对新手没用，这实在是莫名其妙。 而且无法理解一直强调剧情是什么意思。,1.0
请User:Litanwei用户注意，我不认为我编辑的内容与生者传记方针有任何冲突。 李兰娟评上院士前后被浙江一些卫生工作者频繁举报是客观事实。,1.3333333333333333
该方法涉及分阶段和文明方法的组合。 在社会向农业发展阶段的转变中，出现和发展了四个文明：西方（欧洲基督教）文明和三个东方文明 - 儒家，印度佛教和伊斯兰教。,2.0
解釋一下你們的問題： 我是主編，我沒想過李4會協助我修復問題 “此问题最终于1950年代修正 。 ”且不说中间的空格为何被添加，倒是请主编添加一下来源以佐证这句话。,1.0
提供參考：Australia駐臺灣的代表機構是澳洲辦事處；中華民國外交部駐Australia的代表機構則是駐澳大利亞臺北經濟文化辦事處。 雙方的代表機構名稱都混用了，更別說民間。,2.0
欧巴马是美国总统，不是中国国家主席。 “官方”译名是美国政府的， 不是中国新华社。 欧巴马访问上海时用了“欧巴马”，跟学生对话也是 “欧巴马”。,1.3333333333333333
將這個條目歸納為伊斯蘭下的小品可能隱含對伊斯蘭教的污名。 本條目中譯的後宮（英：Harem）出現在鄂圖曼帝國，與伊斯蘭教義的關聯性強度不足以列入此類別。 請參考英文WIKI對同一詞條的闡述。,2.3333333333333335
另外， 我做的修改是infobox里面的内容。 Sir， his honorable，这些都不是名字的一部分， 而是头衔。 像其他的头衔一样， 不应该包含在name这一栏里面。,2.0
