Utterance,labels
（日本の新聞一覧は反対）上に同じ。 日本と海外とを区別する必要を感じないので。,1.6666666666666667
Wetchさんに同意。 おまけに培風館の『物理学辞典』は しっかりした科学者も用いている書籍だから信用できる。,1.3333333333333333
ご回答ありがとうございます。 別の疑問点が出てきましたのでもう一つ 抵抗力について 「垂直応力がと表せる」となっていますが、垂直応力の単位は「力/面積」の次元量を持つはずです。,3.0
負け犬でもそれは気になりますよ。 ご自分で自分の行動に内在する矛盾に気づいていないのですから。,0.0
それは独自研究です。 少なくとも1970年以前から芸能活動していた吉永小百合さんのことを「アイドル」と呼ぶ人も大勢います。,3.0
(1)GFDL適合性については微妙ですね…。 個人的には（後になって遡って対応するよりは）安全サイドに倒して処理した方が良いように思います。,3.6666666666666665
編集合戦になりかけているので理由。 まず「私と機関長で半分は殺れる」じゃなくて「私と機関長を引きかえに円卓の半分は殺れる」です。,1.6666666666666667
統合の件は済んでしまったので仕方ありません。 PCの調子が悪く、心理学上の、催眠と素人催眠について書いたのが消えてしまいました。,1.6666666666666667
まず、新しい議題は一番下に書き込んでください。 また、投稿した際は署名を忘れないでください。,2.6666666666666665
賛成します。 前々からこのような大会自体に関係のない事項が本記事に必要なのか疑問に思っていました。 他言語版に似たような例があるならば、そちらにならうのも一つの手段だと思います。,2.3333333333333335
うーん、それは暫定の記事名なんじゃないかと。 墜落原因がはっきりすれば改名の可能性大です。,3.6666666666666665
梅に興味があるので、少し書かせて下さい。 分類で、サクラ属ですが、Ｐｒｕｍｕｓは、スモモなのに、なぜ、サクラ属なのか不思議です。 特徴および品種で、アンズの近縁種であり、容易に交雑する。,2.3333333333333335
人の話をぜんぜん聞かない人ですね。 「影響を与えている」ことと「ムーブメントが続いている」ということはまったく異なるということを何故理解できないのですか。,0.6666666666666666
に投稿したものです（Senatsuki（会話）による付記）。 とりあえず一つだけ。 あなたの発言「「半順序」は文科省発行の数学用語対訳一覧に記載されることもなく」に対して。,0.0
花見の将来の項で「画像のともやま公園」とありますが、この記事内に画像はありません。 また、インターネットで検索したところ、ともやま公園で桜の植え替えをしている情報は得られませんでした。,2.3333333333333335
最初のページ（初版）はウィキペディア韓国語版の翻訳をもとに加筆・変更したものと思われます。 要約欄に[[ko:박주미]] (2010년 9월 21일 (화) 10:35 ) を翻訳、加筆・変更。,2.6666666666666665
それはその通りです。 ですのでカテゴリーも「ゲイを自称する人物」「レズビアンを自称する人物」が正しい。 しかし、現実としてはこれを「ゲイの人物」「レズビアンの人物」と呼んでいるわけです。,2.6666666666666665
とりあえず、臨床的観点から転記します。 でも、アウトラインはそのまま残しておきます。 何か不都合があれば、どんどん修正してください。,3.0
>>公開前から役柄について物議を交わしていた原作ファンや批評家から絶賛された。 「物議」は「醸す」もので「交わす」ものではありません。,1.6666666666666667
加筆ご苦労様です。 同位体について網羅的な知識をもっているわけではないですが、現在の内容自体にはそれほど致命的な問題があるとは思いません。,3.0
