Utterance,labels
"That is why he is a ‘pretender’. He has never claimed to be a King - or a Kaiser, for that matter. He is in the same class as the Comte de Paris, who is not the King of France, but would be if the Bourbons were placed on a restored French throne.",2.6666666666666665
"Let's knock any 'EngVar' shenanigans on the head right away, shall we? The Manual of Style, as I understand it, makes it clear that the subject's national ties and own language set the course.",1.6666666666666667
"Thank you for your contributions. There are some conventions that apply to articles, and medical articles in particular. Secondary sources were available for the material, and should be cited to validate the medical information from the studies.",3.6666666666666665
"The conversion of tacit to explicit knowledge is seen in for example the bread making machine's case. In response to your question, culture is a broad term. I would like to narrow it down to organization culture.",2.3333333333333335
"It is definitely coming along. I broke out my own copy of Welding Principles and Applications but it is the fifth edition (different ISBN than the current Jefus reference). I found a reference for When using metals which melt at a low temperature, such as aluminum, it is important to be fast and accurate with the filler material placement.",2.0
"Since its introduction in the early 90s, new computer video techniques have been introduced which the original AVI spec any compression technique which requires access to future video frame data beyond the current frame. I feel the same about this sentence. I've read and re-read it and I don't understand what it is trying to communicate.",2.0
"The following comments are included in maintenance tags in the article and related edit comments. I am copying them here, as they seem to constitute de facto Talk page contributions.",2.0
"Interview with Ninomiya Kazunari(Letters From Iwo Jima Paris Press Conference held on February 14, 2007) by JaME. Published October 28, 2007. Eastwood epic at the Berlin Film Festival by David Gordon Smith, February 13, 2007 SMAP's Kimutaku a different breed of idol by Philip Brasor.",2.3333333333333335
"I 9and other editors) have warned the above user against the attempted insertion of this material. The details are explained in the talk page for Margaret Spellings As the user is by his own admission engaged in a lawsuit against the subject, the edits, besides being violations of BLP policy, and also being highly unreasonable, are also blatant violation of our Conflict of Interest policy.",1.6666666666666667
"Please don't edit the conductance page, that would be an incorrect definition. This page does not define conductance as Re(1/Z). It says conductance is given by that expression.",1.6666666666666667
"Is it true that he originally gave this film two stars? That can’t be true because two stars is a negative review and he originally gave this film thumbs up. Not only that, Unforgiven is #9 on his list of the 10 best films of 1992.",2.3333333333333335
I have firmly requested that Ayra and Sigurd make an appearance as one of the contenders in the upcoming Super Smash Bros. Brawl. I object to having the characters from the second half of Fire Emblem: Genealogy of the Holy War to appear as one of the contenters.,0.6666666666666666
"UCSF STUDENT 2 – Are the points included verifiable with cited secondary sources that are freely accessible? If not, specify… Yes, the points included are generally verifiable with cited secondary sources that are freely accessible. A few primary sources were used in this draft submission, but I found them to be properly utilized and consistent with Wikipedia's citation guidelines.",3.0
"Hello fellow Wikipedians, I have just added archive links to on Tabloid (newspaper format). Please take a moment to review my edit. If necessary, add after the link to keep me from modifying it.",3.3333333333333335
"I have a question that hopefully someone can answer for me, my roommate just caught a rather small mouse in our apartment (by catch I mean he actually caught it humanely, not in a trap), he now is keeping it in a large box in our room as our pet. Is there a significant risk of disease from having him around here? What kind of disease?",3.3333333333333335
"Revision 648068288, dated 20 February 2015 inserted the claim that two American military commanders, Lt. Gen. Walter Short and Adm. Husband Kimmel were demoted of their full ranks, and are now seeking to restore their reputations and full ranks. A citation is provided to an issue of Christian Science Monitor from 1996, but it's presumably not available online, so I can't check it.",2.0
