Utterance,labels
"Tengo entendido que desde 1929, y sobre todo desde 1948, la electrodinámica cuántica desterró la teoría dual. Lo de la teoría onda-corpúsculo está históricamente superado, aunque en algunos libros de bachillerato todavía sea el no va más de la Física.",1.6666666666666667
"Aunque la candidatura se ha retirado (veremos si vuelve si el nuevo sistema de revisión acelera las revisiones), ya que se ha hecho el esfuerzo de revisarlo, voy a tratar de aclarar las dudas planteadas en la página de revisión antigua (comento por orden de aparición): 1.-Es parecido, sí, pero indica que verdaderamente hubo apenas un puñado.",3.0
"Parece que hay cierta confusión sobre lo que constituye un salto distinto: Hay 6 saltos diferentes: toeloop, salchow, loop, flip, lutz y axel.",2.0
"No, los cromosomas en interfase tienen únicamente una cromátida tanto antes de empezar mitosis como en meiosis. Al replicarse el ADN en fase S tienen dos cromátidas, que luego en la metafase les da esa forma de X tan característica.",1.6666666666666667
"Hay que especificar los títulos en español, ya que parece que son diferentes, me parece haber visto otro título (Mayday: Desastres aéreos) y el contenido estaba en español, así que habría que distinguirlos. De ser así, este artículo se podría renombrar como Mayday (serie de televisión).",2.3333333333333335
"Dinamarca consigue satisfacer el 100% de su demanad electrica solo con energía eólica Sólo mediante sus molinos de viento, el país cubrió el 116% de lo que necesita su población. Más tarde, a eso de las 03: 00 am, hora en que la demanda eléctrica cae, la cifra aumentó a 140%.",2.3333333333333335
"Me parece pésima la definición del tema, parte con un claro sesgo y una crítica sobre lo que es, antes si quiera de definir correctamente qué es la psicología transpersonal. Acepto las críticas que se dicen, estan referenciadas y todo, pero creo que primero debe plantearse correctamente qué es algo para poder criticarlo.",0.6666666666666666
"1º Hasta el Papa Montini todos los papas llamados Paulus se les ha llamado en castellano Paulo. Que Montini quiso cambiar la forma acorde con la vorágine que recorría la Iglesia católica, es una decisión que sólo atañe al Paulo papa sexto de ese nombre.",2.0
"Entre otras razones porque no creo que un artículo que tiene por encima en tamaño a 11 artículos de otras wikipedias, sea el modelo perfecto de AB de la wikipedia en español. En la wikipedia china, el artículo, que también es AB, mide 38 Kb y en la inglesa que es AD, 54 Kb, siendo el nuestro de apenas 10 Kb.",1.3333333333333333
"de catalogarlo como AB. El principal problema del artículo, según mi punto de vista, es que tiene secciones muy reducidas, algunas incluso de una sola línea. Algunas referencias no muestran la información básica, como la fecha de acceso o el idioma en el que están y la referencia 13 es errónea, ya que muestra una plantilla que no existe.",2.3333333333333335
"Para ser soberana no es necesario tener estado (y en ese caso, tampoco habría problema porque la Santa Sede ejerce su soberanía sobre un territorio, que es la Ciudad del Vaticano). En cualquier caso, además de la propia Santa Sede, tenemos como ejemplo a la Orden de Malta, otra entidad soberana, que no es un Estado.",2.3333333333333335
"Amigo, Stella Maris es un culto totalmente católico, pero Iemanjá no lo es. Son DOS COSAS DISTINTAS de Religiones Distintas. Bendiciones Realmente el concepto de Stella Maris, es resultado del sincretismo romano tratando de asimilar prosélitos de religiones con diosas del mar.",1.0
"Otro ejemplo sería el nombre de la compañia Apple, la que fabrica Macintosh. Apple es manzana en inglés y aún así, no tiene frutas, fabrica computadoras. A veces el nombre de una cosa o lugar, no necesariamente define lo que es.",1.3333333333333333
"Podés llamar a quien quieras vos para mediar, yo no tengo problema. ¿O sea que preferís Escandinava, corriendo el riesgo de exncluir en alguna mente que no sabe del tema, al pueblo islandés y germano a Nórdica, corriendo el riesgo de incluir en alguna mente que no sabe del tema, al pueblo finés?",1.0
"Las referencias pertinentes las tienes en la propia wikipedia: consulta las páginas sobre la obra de Vitruvio y desde allí salta a cualquier buena edición en latín, o cualquier buena traducción a otro idioma y observa como se escribe el nombre del Romano en los prólogos y en los comentarios críticos.",1.6666666666666667
"La empresa DMG no es considerada aun como pirámide (también podría ser lavado de activos) por lo que debe ser removida de la lista de pirámides hasta haberse demostrado algo. ¿Donde esta la fuente donde la fiscalía o la ley afirma que DMG es pirámide? — El comentario anterior es obra de , quien olvidó firmarlo.",1.6666666666666667
¿Quién es el maniático que se empeña en poner el artificioso Belarús? En lengua española es la denominación Bielorrusia la mayoritaria y más arraigada.,0.0
"Schadenfreude en la cultura popular En un episodio de two and a half men, Rose esta conversando con Charlie acerca del Schadenfreude mientras están en la terraza de la casa de Charlie. No recuerdo el número del episodio. ___ Saludos. He tenido que volver a corregir lo de alegría vergonzosa.",3.0
"He llevado a cabo nuevas correcciones que han mejorado sustancialmente la calidad y lectura del artículo. Espero que ayude en la próxima revisión. Personalmente, es una obra muy completa y de gran valor.",4.0
"¿Por que la traducción de Array es Arreglo y no Matriz? Porque arreglo es la traducción que se usa en México y quizá otros países latinoamericanos. En España, bien no se traduce o se traduce por vector o matriz.",2.3333333333333335
"No puede considerarse un tipo de contenedor, ya que se trata de un contenedor estandar al que el cliente instala una bolsa en el interior para el transporte a granel. Generalmente de liquidos. El flexitank se descarta una vez completado el viaje.",2.6666666666666665
En el articulo Agave americana dice: Agave significa maravilla en griego; al parecer fue denominada así por los conquistadores españoles.,2.0
"Toda la sección «Forma de parasitismo» es simple y llanamente falsa, y carece de fuentes referenciadas. No existen casos documentados de ataques del Candirú a seres humanos, ni a otros animales que no sean peces.",1.0
"Sea pues..vox populi, vox dei..Moctezuma Xocoyotzin...aunque WP: CT dice claramente Como todas las convenciones, tampoco estas constituyen unas reglas fijas. A veces deberá primar el sentido común o la visión práctica sobre las reglas establecidas..",1.6666666666666667
"Perú Se le llama generalizadamente lapicero. Bolígrafo, muy raro, solo para ciertos lapiceros. Puerto Rico pluma o bolígrafo Uruguay Birome, aunque comunmente se le llama lapicera, esta última denominación comprende tambien a la lapiceras de tinta liquida recargable, para diferenciarlas se las llama lapicera fuente.",2.3333333333333335
"ESTE TRABAJO FUE REALIZADO POR CHRINTIAN el mapa España aparece en rojo como que no se permite la doble nacionalidad, y yo tengo la peruana y la española. No es cierto que en Venezuela no se permite la doble nacionalidad, casi todos los descendientes de europeos son venezolanos y tienen las nacionalidades italiana, española, portuguesa, etc. y lo mismo pasa en la Argentina.",1.3333333333333333
"Hola 343KKT Kintaro, según la RAE: Fijarse que dice Escr. t. con may. inicial, Escrito también con mayúscula inicial. Por tanto las dos formas son aceptadas (por ahora).",1.6666666666666667
"Albert Schweitzer no era hermano de la madre de Sartre, eran primos hermanos. Anne-Marie era hija de Charles Schweitzer y Albert era hijo de Louis Schweitzer. Por tanto, Albert Schweitzer era tio segundo de Sartre.",2.0
"Hola a todos, me he tomado un tiempo para revisar y corregir algunas cosas en el articulo de Enya. Para comenzar he cambiado la imagen principal que estaba desactualizada y pequeña para mi y la he cambiado a una mucho más grande y reciente. Tambien he cambiado el nombre de la discográfica a Warner Bros. para una comprensión mas rápida a los lectores, además que contiene su propio articulo.",4.0
"He ampliado la entrada, pero dejo la definición simple y neutral como arranque. Era necesario desambiguar con historia natural, lo que he aprovechado para referirse al cambio en el tiempo, que es de gran importancia. Entre los mensajes anteriores y este, el artículo historiografía ha crecido mucho.",3.3333333333333335
"Se hace referencia en este artículo a una superstición acerca de un área geográfica. No hay que tomarse tan a la tremenda que este artículo exista porque n hace mal a nadie y en él no se defiende la existencia de este mito como algo real, sólo se expone lo dicho acerca de este fenómeno.",1.6666666666666667
"Son varias las bases de datos que dicen que en la temporada 2013-14 anotó 16 goles en Liga y 22 en la 2014-15 y 2015-16. En su día comprobé los datos con los que facilitaba la LFP en sus estadísticas históricas, no disponibles en la versión actual.",2.3333333333333335
"Durante la segunda estrofa de la canción Be prepared que es cantada por Scar, se ve a las hienas desfilando como una reminiscencia de los desfiles militares muy frecuentes durante la época del III Reich. Siendo Scar el símil de Adolf Hitler mientras observa al ejército en referencia a la Catedral de Luces que tuvo lugar en varios congresos en Núremberg, Alemania.",2.0
"Creo que es una propuesta de marketing puro que nace desde una iniciativa privadam es no democrática porque sabemos que el acceso a internet no es universal, etc... Es un asunto banal que no debe estar como artículo en la wikipedia.",1.3333333333333333
Es muy grato acceder a distinguidas personas dialogando en forma amistosa y caballeresca en torno al maestro Maurice Merleau-Ponty. Hay un punto que vale la pena destacar y es la acertada sensibilidad de Merleau-P. por la patencia del cuerpo en la constitución del acceso al percibir constiuyente.,2.6666666666666665
"Aunque muchas profecías de Nostradamus se consideran acertadas, lo cierto es que requiere un gran ejercicio de interpretación adivinar qué hechos constataba Nostradamus con sus Cuartetas. A continuación, se muestran algunas de las cuartetas de Nostradamus que, según los entendidos, pueden ser consideradas como verdaderas. Se consideran acertadas suena a científicamente correcto.",2.0
"característica Simple, el Logo oficial de Mozilla Firefox es Marca registrada y por lo tanto NO se puede utilizar en este artículo. Por eso se utiliza el logo Deer Park Globe solo, sin el panda rojo, que es de libre uso (MPL/GPL/LGPL).",2.6666666666666665
"En la guía Marca de la temporada 2.005-2006 aparece Raul como máximo goleador de la champions league. A Shevchenko no se le cuentan los goles de las fases previas de clasificación, pues creo que no son reconocidas por la UEFA. Sin embargo nadie lo ha cambiado aún en el wikipedia.",3.0
"Señores Wikipedia Escribo para comentar sobre la foto del actor Jeffrey Jones que encabeza este artículo. ¿Con todas las películas que este actor hizo, sólo se les ocurre poner una tan deprimente como la de su arresto? No pretendo obviar su comportamiento, es lamentable que este gran actor haya tirado por la borda semejante carrera, pero me parecería mas digna otra foto.",1.3333333333333333
"La referencia en el artículo Provincias y territorios de Canadá dice Es también el caso del territorio Yukón. Dado que el artículo comienza con El Yukón, debería enmendarse dicha oración de la siguiente manera: Es también el caso del territorio del Yukón.",2.0
"Por favor, pido que no agreguen más ejemplos de superdeportivos. Voy a retirar algunos, ya que como dice el artículo, la clasificación es bastante subjetiva. Voy a dejar solamente los más obvios, como el Saleen S7 o el Bugatti Veyron.",3.3333333333333335
"Hasta donde conozco, se lo considera así porque en los últimos años de su vida Vicente de Paul envió misioneros (de la Congregación de la Misión) a Madagascar, además de Túnez, Italia, Polonia, Irlanda, Escocia... Así aparece en algunos sitios, por ejemplo aquí.",1.6666666666666667
"He traducido Mongolian language como lenguas mongoles para evitar el desgaste que ha sufrido la palabra a lo largo de los años. Actualmente es más común relacionar mongólico con enfermos de síndrome de Down que con los mongoles, origen de la palabra. Reconozco que lo más correcto sería usar lenguas mongólicas, pero no sé si el lector medio sería capaz de entender lo que se quiere decir.",2.3333333333333335
"Disculpen que lo ponga aquí, no estoy familiarizado con esta sección de Wikipedia. El artículo fue vandalizado. Borro la imagen de trollface y si alguien puede recuperarlo a una versión anterior desde el historial, gracias.",3.6666666666666665
"Si la ley de 1956 tiene que conceder la nacionalidad irlandesa, es porque como yo he mantenido todo el tiempo fue británico toda su vida, recordemos que murió en 1900, luego tuvo una nacionalidad vivo y le concedieron otra muerto. Es decir lo que estaba al principio, británico-irlandés.",2.0
"El artículo está bien redactado, ilustrado y referenciado, pero necesita pulir algunos detalles antes de poder ser AB. En la sección Galileo (1995-2003) hay una lista. Siempre es preferible expresar las ideas en texto plano, sin enumeraciones.",3.3333333333333335
En español no existe primeramente. El que haya quien lo utilice se puede deber a dos motivos: la influencia del inglés o el error cometido por los catalanoparlantes al traducir literalmente del catalán.,1.0
